person_age,person_age_cleaned,person_income,person_income_cleaned,person_home_ownership,person_emp_length,person_emp_length_cleaned,loan_intent,loan_grade,loan_amnt,loan_amnt_cleaned,loan_int_rate,loan_status,loan_percent_income,loan_percent_income_cleaned,cb_person_default_on_file,cb_person_cred_hist_length
26,26.0,300000,140250,MORTGAGE,0.0,0.0,EDUCATION,D,25000,23000,15.33,0,0.08,0.0833,N,3
25,25.0,300000,140250,MORTGAGE,9.0,9.0,HOMEIMPROVEMENT,E,18000,18000,16.45,0,0.06,0.06,N,3
26,26.0,80690,80690,RENT,8.0,8.0,PERSONAL,A,30000,23000,7.49,1,0.37,0.3718,N,3
22,22.0,66300,66300,RENT,4.0,4.0,MEDICAL,B,30000,23000,12.69,1,0.38,0.4525,N,3
26,26.0,89028,89028,RENT,0.0,0.0,DEBTCONSOLIDATION,A,30000,23000,6.62,1,0.34,0.337,N,3
24,24.0,78000,78000,RENT,4.0,4.0,DEBTCONSOLIDATION,D,30000,23000,,1,0.38,0.3846,Y,4
23,23.0,78000,78000,RENT,7.0,7.0,DEBTCONSOLIDATION,F,30000,23000,18.62,1,0.38,0.3846,Y,3
23,23.0,92004,92004,RENT,6.0,6.0,PERSONAL,C,30000,23000,15.23,1,0.33,0.3261,Y,3
23,23.0,97000,97000,RENT,7.0,7.0,VENTURE,B,30000,23000,10.65,1,0.31,0.3093,N,2
25,25.0,120000,120000,RENT,9.0,9.0,EDUCATION,A,30000,23000,7.9,0,0.25,0.25,N,4
26,26.0,280000,140250,RENT,4.0,4.0,PERSONAL,C,10000,10000,15.96,0,0.04,0.0357,Y,3
26,26.0,277104,140250,RENT,0.0,0.0,VENTURE,B,20000,20000,11.48,0,0.07,0.0722,N,3
23,23.0,277000,140250,OWN,3.0,3.0,PERSONAL,A,35000,23000,,0,0.13,0.1264,N,4
25,25.0,128000,128000,RENT,9.0,9.0,PERSONAL,A,30000,23000,7.29,0,0.23,0.2344,N,4
24,24.0,12000,12000,OWN,2.0,2.0,VENTURE,E,1750,1750,,0,0.15,0.1458,Y,3
21,21.0,131000,131000,RENT,0.0,0.0,VENTURE,A,30000,23000,5.99,0,0.23,0.229,N,4
22,22.0,275000,140250,OWN,6.0,6.0,VENTURE,B,12000,12000,11.58,0,0.04,0.0436,N,2
26,26.0,263000,140250,MORTGAGE,0.0,0.0,EDUCATION,B,10000,10000,,1,0.04,0.038,N,4
25,25.0,221850,140250,MORTGAGE,9.0,9.0,MEDICAL,D,25000,23000,15.7,1,0.1,0.1127,N,2
22,22.0,70000,70000,RENT,6.0,6.0,EDUCATION,D,29100,23000,15.99,1,0.42,0.4157,N,3
22,22.0,12000,12000,MORTGAGE,7.0,7.0,EDUCATION,D,1500,1500,14.84,0,0.13,0.125,Y,3
26,26.0,260000,140250,OWN,10.0,10.0,HOMEIMPROVEMENT,B,28000,23000,10.99,0,0.11,0.1077,N,3
25,25.0,259000,140250,MORTGAGE,9.0,9.0,HOMEIMPROVEMENT,D,20000,20000,14.42,0,0.08,0.0772,Y,2
24,24.0,255000,140250,MORTGAGE,9.0,9.0,EDUCATION,A,9600,9600,6.99,0,0.04,0.0376,N,2
25,25.0,250000,140250,RENT,2.0,2.0,MEDICAL,C,25000,23000,13.49,0,0.1,0.1,N,4
25,25.0,12000,12000,OWN,0.0,0.0,MEDICAL,C,3000,3000,,1,0.25,0.25,N,3
22,22.0,56950,56950,RENT,6.0,6.0,MEDICAL,A,28000,23000,,1,0.49,0.4917,N,2
21,21.0,12000,12000,OWN,6.0,6.0,EDUCATION,C,3000,3000,13.61,1,0.25,0.25,Y,3
23,23.0,65000,65000,RENT,2.0,2.0,EDUCATION,A,28000,23000,7.9,1,0.43,0.4308,N,2
26,26.0,85000,85000,RENT,2.0,2.0,VENTURE,A,28000,23000,7.49,1,0.33,0.3294,N,3
26,26.0,12000,12000,OWN,2.0,2.0,EDUCATION,A,6100,6100,7.51,1,0.51,0.5083,N,3
22,22.0,88000,88000,RENT,6.0,6.0,VENTURE,B,28000,23000,9.91,1,0.32,0.3182,N,3
21,21.0,12000,12000,OWN,0.0,0.0,PERSONAL,C,4200,4200,13.48,1,0.35,0.35,Y,4
22,22.0,12000,12000,OWN,6.0,6.0,DEBTCONSOLIDATION,A,4750,4750,7.14,1,0.4,0.3958,N,2
24,24.0,83004,83004,RENT,0.0,0.0,VENTURE,D,28000,23000,15.99,1,0.34,0.3373,Y,4
24,24.0,250000,140250,RENT,2.0,2.0,EDUCATION,C,18000,18000,12.98,0,0.07,0.072,Y,3
144,,250000,140250,RENT,4.0,4.0,VENTURE,C,4800,4800,13.57,0,0.02,0.0192,N,3
25,25.0,100000,100000,RENT,5.0,5.0,DEBTCONSOLIDATION,B,28000,23000,12.69,0,0.28,0.28,N,3
26,26.0,110000,110000,RENT,10.0,10.0,EDUCATION,A,28000,23000,8.9,0,0.25,0.2545,N,2
26,26.0,12000,12000,OWN,0.0,0.0,DEBTCONSOLIDATION,A,2700,2700,,1,0.23,0.225,N,4
22,22.0,108000,108000,RENT,6.0,6.0,EDUCATION,B,28000,23000,,1,0.26,0.2593,N,4
23,23.0,151200,140250,RENT,7.0,7.0,DEBTCONSOLIDATION,B,28000,23000,11.11,0,0.19,0.1852,N,2
24,24.0,69000,69000,RENT,2.0,2.0,HOMEIMPROVEMENT,A,27600,23000,,1,0.4,0.4,N,2
21,21.0,12000,12000,MORTGAGE,5.0,5.0,DEBTCONSOLIDATION,E,3250,3250,15.68,1,0.27,0.2708,Y,3
22,22.0,70000,70000,RENT,4.0,4.0,EDUCATION,C,27500,23000,13.06,1,0.39,0.3929,Y,3
22,22.0,240000,140250,OWN,6.0,6.0,PERSONAL,B,25000,23000,,0,0.1,0.1042,N,2
26,26.0,73200,73200,RENT,5.0,5.0,VENTURE,D,27050,23000,15.62,1,0.37,0.3695,Y,2
24,24.0,83000,83000,RENT,5.0,5.0,PERSONAL,C,27000,23000,13.49,1,0.33,0.3253,Y,2
24,24.0,73399,73399,RENT,0.0,0.0,VENTURE,D,27000,23000,,1,0.37,0.3679,N,3
23,23.0,62500,62500,RENT,7.0,7.0,MEDICAL,B,26000,23000,11.71,1,0.42,0.416,N,2
23,23.0,120000,120000,RENT,1.0,1.0,EDUCATION,B,25600,23000,12.69,0,0.21,0.2133,N,3
24,24.0,12360,12360,OWN,2.0,2.0,MEDICAL,C,1600,1600,13.57,0,0.13,0.1294,N,3
22,22.0,60000,60000,RENT,0.0,0.0,VENTURE,B,25475,23000,10.99,1,0.42,0.4246,N,3
25,25.0,234000,140250,MORTGAGE,3.0,3.0,MEDICAL,C,20000,20000,14.27,0,0.09,0.0855,Y,4
24,24.0,234000,140250,OWN,8.0,8.0,HOMEIMPROVEMENT,B,20000,20000,8.88,0,0.09,0.0855,N,4
26,26.0,234000,140250,MORTGAGE,10.0,10.0,HOMEIMPROVEMENT,B,21600,21600,12.18,0,0.09,0.0923,N,3
25,25.0,221004,140250,MORTGAGE,6.0,6.0,DEBTCONSOLIDATION,D,11900,11900,14.42,1,0.05,0.0538,Y,3
26,26.0,232500,140250,MORTGAGE,0.0,0.0,MEDICAL,C,25000,23000,14.17,0,0.11,0.1075,Y,2
25,25.0,230000,140250,MORTGAGE,5.0,5.0,MEDICAL,C,35000,23000,13.99,0,0.15,0.1522,N,4
23,23.0,83000,83000,RENT,7.0,7.0,EDUCATION,B,25300,23000,10.99,1,0.3,0.3048,N,3
22,22.0,12600,12600,MORTGAGE,,,PERSONAL,A,2000,2000,5.42,1,0.16,0.1587,N,4
25,25.0,12600,12600,OWN,3.0,3.0,PERSONAL,C,1750,1750,13.61,0,0.14,0.1389,N,3
21,21.0,42500,42500,RENT,3.0,3.0,EDUCATION,C,25000,23000,12.73,1,0.59,0.5882,Y,3
24,24.0,41000,41000,RENT,2.0,2.0,HOMEIMPROVEMENT,D,25000,23000,,1,0.61,0.6098,N,3
25,25.0,12816,12816,OWN,0.0,0.0,DEBTCONSOLIDATION,C,3000,3000,12.87,1,0.23,0.2341,Y,4
24,24.0,12960,12960,MORTGAGE,1.0,1.0,HOMEIMPROVEMENT,B,3650,3650,9.91,1,0.28,0.2816,N,3
26,26.0,226000,140250,MORTGAGE,4.0,4.0,HOMEIMPROVEMENT,B,20000,20000,11.49,0,0.09,0.0885,N,4
25,25.0,225000,140250,MORTGAGE,0.0,0.0,HOMEIMPROVEMENT,E,30000,23000,19.91,0,0.13,0.1333,Y,2
26,26.0,213000,140250,MORTGAGE,6.0,6.0,EDUCATION,B,35000,23000,10.65,1,0.16,0.1643,N,2
24,24.0,225000,140250,RENT,0.0,0.0,MEDICAL,B,6000,6000,,0,0.03,0.0267,N,4
24,24.0,12960,12960,MORTGAGE,0.0,0.0,DEBTCONSOLIDATION,B,4500,4500,11.83,1,0.35,0.3472,N,4
23,23.0,12996,12996,OWN,0.0,0.0,DEBTCONSOLIDATION,C,2400,2400,13.49,1,0.18,0.1847,Y,2
22,22.0,42000,42000,RENT,6.0,6.0,MEDICAL,D,25000,23000,14.59,1,0.6,0.5952,Y,2
26,26.0,48000,48000,RENT,2.0,2.0,EDUCATION,B,25000,23000,9.64,1,0.52,0.5208,N,4
25,25.0,12996,12996,OWN,1.0,1.0,MEDICAL,D,3600,3600,14.59,1,0.28,0.277,N,3
22,22.0,12996,12996,OWN,1.0,1.0,EDUCATION,B,4750,4750,,1,0.37,0.3655,N,3
25,25.0,42360,42360,RENT,1.0,1.0,EDUCATION,E,25000,23000,16.35,1,0.59,0.5902,Y,3
21,21.0,49000,49000,RENT,4.0,4.0,EDUCATION,B,25000,23000,10.99,1,0.51,0.5102,N,2
25,25.0,225000,140250,MORTGAGE,0.0,0.0,VENTURE,F,25000,23000,18.67,0,0.11,0.1111,N,2
26,26.0,225000,140250,RENT,1.0,1.0,EDUCATION,A,3000,3000,9.32,0,0.01,0.0133,N,4
23,23.0,225000,140250,RENT,8.0,8.0,DEBTCONSOLIDATION,A,7500,7500,8.63,0,0.03,0.0333,N,2
26,26.0,225000,140250,MORTGAGE,2.0,2.0,VENTURE,B,25000,23000,10.08,0,0.11,0.1111,N,2
22,22.0,49464,49464,RENT,5.0,5.0,PERSONAL,B,25000,23000,11.83,1,0.51,0.5054,N,3
23,23.0,50000,50000,RENT,1.0,1.0,DEBTCONSOLIDATION,A,25000,23000,7.9,1,0.5,0.5,N,3
25,25.0,50000,50000,RENT,4.0,4.0,HOMEIMPROVEMENT,A,25000,23000,5.99,1,0.5,0.5,N,2
24,24.0,44000,44000,RENT,2.0,2.0,DEBTCONSOLIDATION,D,25000,23000,15.33,1,0.57,0.5682,N,2
23,23.0,50000,50000,RENT,1.0,1.0,VENTURE,B,25000,23000,11.83,1,0.5,0.5,N,4
22,22.0,50004,50004,RENT,0.0,0.0,VENTURE,B,25000,23000,10.36,1,0.5,0.5,N,2
22,22.0,50004,50004,RENT,3.0,3.0,VENTURE,C,25000,23000,12.23,1,0.5,0.5,N,3
22,22.0,52000,52000,RENT,2.0,2.0,EDUCATION,B,25000,23000,11.11,1,0.48,0.4808,N,4
23,23.0,13200,13200,OWN,3.0,3.0,DEBTCONSOLIDATION,A,4950,4950,7.9,1,0.38,0.375,N,4
24,24.0,220000,140250,MORTGAGE,1.0,1.0,EDUCATION,B,25000,23000,11.58,0,0.11,0.1136,N,2
23,23.0,216000,140250,MORTGAGE,5.0,5.0,DEBTCONSOLIDATION,A,21000,21000,8.9,0,0.1,0.0972,N,3
25,25.0,216000,140250,MORTGAGE,2.0,2.0,EDUCATION,D,25000,23000,16.07,0,0.12,0.1157,N,3
26,26.0,216000,140250,MORTGAGE,10.0,10.0,EDUCATION,C,20000,20000,14.22,0,0.09,0.0926,Y,2
23,23.0,215000,140250,MORTGAGE,7.0,7.0,MEDICAL,C,35000,23000,14.79,0,0.16,0.1628,Y,3
26,26.0,215000,140250,MORTGAGE,11.0,11.0,EDUCATION,A,12000,12000,7.88,0,0.06,0.0558,N,2
23,23.0,52000,52000,RENT,1.0,1.0,PERSONAL,C,25000,23000,13.22,1,0.48,0.4808,N,2
26,26.0,46000,46000,RENT,2.0,2.0,DEBTCONSOLIDATION,D,25000,23000,11.86,1,0.54,0.5435,N,4
22,22.0,53000,53000,RENT,5.0,5.0,EDUCATION,C,25000,23000,13.43,1,0.47,0.4717,Y,4
26,26.0,47000,47000,RENT,0.0,0.0,HOMEIMPROVEMENT,D,25000,23000,15.28,1,0.53,0.5319,Y,2
23,23.0,47000,47000,RENT,1.0,1.0,VENTURE,E,25000,23000,17.93,1,0.53,0.5319,N,2
23,23.0,13200,13200,MORTGAGE,2.0,2.0,EDUCATION,B,1400,1400,9.25,0,0.11,0.1061,N,4
21,21.0,13200,13200,OWN,0.0,0.0,VENTURE,C,4500,4500,12.98,1,0.34,0.3409,N,4
22,22.0,210000,140250,MORTGAGE,6.0,6.0,VENTURE,B,16000,16000,10.62,0,0.08,0.0762,N,4
26,26.0,210000,140250,OWN,10.0,10.0,PERSONAL,B,22000,22000,11.83,0,0.1,0.1048,N,4
26,26.0,48000,48000,RENT,5.0,5.0,VENTURE,F,25000,23000,18.43,1,0.52,0.5208,N,2
22,22.0,54996,54996,RENT,6.0,6.0,EDUCATION,B,25000,23000,,1,0.45,0.4546,N,4
24,24.0,55000,55000,RENT,4.0,4.0,HOMEIMPROVEMENT,D,25000,23000,,1,0.45,0.4545,Y,4
23,23.0,55000,55000,RENT,4.0,4.0,EDUCATION,B,25000,23000,11.36,1,0.45,0.4545,N,3
23,23.0,55000,55000,RENT,4.0,4.0,EDUCATION,D,25000,23000,15.65,1,0.45,0.4545,Y,3
24,24.0,55164,55164,RENT,8.0,8.0,PERSONAL,C,25000,23000,13.22,1,0.45,0.4532,Y,4
26,26.0,56000,56000,RENT,4.0,4.0,DEBTCONSOLIDATION,C,25000,23000,12.87,1,0.45,0.4464,N,2
24,24.0,203500,140250,OWN,8.0,8.0,MEDICAL,C,20000,20000,13.04,0,0.1,0.0983,N,3
23,23.0,190000,140250,MORTGAGE,5.0,5.0,EDUCATION,F,22000,22000,17.58,1,0.12,0.1158,Y,3
23,23.0,13920,13920,OWN,2.0,2.0,PERSONAL,E,7750,7750,17.04,1,0.56,0.5568,N,4
24,24.0,60000,60000,RENT,0.0,0.0,PERSONAL,B,25000,23000,10.99,1,0.42,0.4167,N,3
24,24.0,60000,60000,RENT,2.0,2.0,PERSONAL,B,25000,23000,11.11,1,0.42,0.4167,N,3
26,26.0,54000,54000,RENT,7.0,7.0,DEBTCONSOLIDATION,D,25000,23000,14.83,1,0.46,0.463,Y,2
23,23.0,14000,14000,OWN,2.0,2.0,DEBTCONSOLIDATION,D,4000,4000,,1,0.29,0.2857,N,3
24,24.0,200000,140250,RENT,8.0,8.0,MEDICAL,B,12000,12000,12.69,0,0.06,0.06,N,2
24,24.0,200000,140250,MORTGAGE,8.0,8.0,HOMEIMPROVEMENT,C,12000,12000,13.49,0,0.06,0.06,N,2
21,21.0,200000,140250,MORTGAGE,5.0,5.0,EDUCATION,C,16000,16000,14.65,0,0.08,0.08,N,4
25,25.0,54000,54000,RENT,3.0,3.0,HOMEIMPROVEMENT,E,25000,23000,16.82,1,0.46,0.463,N,4
23,23.0,60000,60000,RENT,3.0,3.0,PERSONAL,C,25000,23000,12.73,1,0.42,0.4167,N,3
23,23.0,60000,60000,RENT,7.0,7.0,PERSONAL,B,25000,23000,10.25,1,0.42,0.4167,N,4
21,21.0,60000,60000,RENT,6.0,6.0,EDUCATION,B,25000,23000,10.99,1,0.42,0.4167,N,4
25,25.0,61959,61959,RENT,9.0,9.0,MEDICAL,C,25000,23000,12.73,1,0.4,0.4035,N,2
22,22.0,56400,56400,RENT,2.0,2.0,HOMEIMPROVEMENT,D,25000,23000,14.96,1,0.44,0.4433,Y,3
23,23.0,200000,140250,MORTGAGE,7.0,7.0,EDUCATION,A,28000,23000,,0,0.14,0.14,N,2
21,21.0,200000,140250,MORTGAGE,2.0,2.0,DEBTCONSOLIDATION,C,25000,23000,13.99,0,0.13,0.125,N,2
24,24.0,200000,140250,MORTGAGE,3.0,3.0,VENTURE,A,24000,23000,7.49,0,0.12,0.12,N,4
26,26.0,200000,140250,MORTGAGE,4.0,4.0,EDUCATION,C,15000,15000,14.79,0,0.07,0.075,N,3
25,25.0,200000,140250,MORTGAGE,2.0,2.0,DEBTCONSOLIDATION,B,15500,15500,11.99,0,0.08,0.0775,N,2
24,24.0,200000,140250,RENT,8.0,8.0,EDUCATION,A,10000,10000,8.49,0,0.05,0.05,N,4
24,24.0,66000,66000,RENT,3.0,3.0,EDUCATION,B,25000,23000,9.91,1,0.38,0.3788,N,2
22,22.0,66000,66000,RENT,6.0,6.0,EDUCATION,C,25000,23000,13.06,1,0.38,0.3788,Y,3
22,22.0,200000,140250,MORTGAGE,6.0,6.0,DEBTCONSOLIDATION,A,9000,9000,6.17,0,0.04,0.045,N,4
144,,200000,140250,MORTGAGE,4.0,4.0,EDUCATION,B,6000,6000,11.86,0,0.03,0.03,N,2
25,25.0,200000,140250,RENT,5.0,5.0,EDUCATION,D,18000,18000,16.32,0,0.09,0.09,N,3
25,25.0,200000,140250,MORTGAGE,2.0,2.0,VENTURE,B,12000,12000,10.38,0,0.06,0.06,N,2
25,25.0,200000,140250,MORTGAGE,9.0,9.0,PERSONAL,C,23050,23000,14.35,0,0.12,0.1152,N,3
24,24.0,200000,140250,MORTGAGE,8.0,8.0,DEBTCONSOLIDATION,B,20000,20000,,0,0.1,0.1,N,3
24,24.0,60000,60000,RENT,2.0,2.0,DEBTCONSOLIDATION,E,25000,23000,,1,0.42,0.4167,Y,2
21,21.0,14400,14400,OWN,0.0,0.0,HOMEIMPROVEMENT,B,3000,3000,,1,0.21,0.2083,N,4
26,26.0,66996,66996,RENT,10.0,10.0,PERSONAL,D,25000,23000,15.21,1,0.37,0.3732,Y,2
23,23.0,67000,67000,RENT,3.0,3.0,EDUCATION,A,25000,23000,7.9,1,0.37,0.3731,N,4
24,24.0,67000,67000,RENT,2.0,2.0,VENTURE,B,25000,23000,10.99,1,0.37,0.3731,N,3
24,24.0,68000,68000,RENT,5.0,5.0,PERSONAL,D,25000,23000,14.09,1,0.37,0.3676,Y,3
25,25.0,69000,69000,RENT,9.0,9.0,PERSONAL,D,25000,23000,17.49,1,0.36,0.3623,N,2
25,25.0,200000,140250,MORTGAGE,0.0,0.0,EDUCATION,B,12000,12000,11.48,0,0.06,0.06,N,3
26,26.0,188000,140250,MORTGAGE,10.0,10.0,VENTURE,E,20000,20000,17.74,1,0.11,0.1064,N,2
26,26.0,200000,140250,MORTGAGE,4.0,4.0,PERSONAL,C,3000,3000,13.92,0,0.01,0.015,N,3
25,25.0,69996,69996,RENT,9.0,9.0,EDUCATION,D,25000,23000,15.21,1,0.36,0.3572,N,3
22,22.0,14400,14400,OWN,2.0,2.0,MEDICAL,B,4000,4000,10.99,1,0.28,0.2778,N,3
24,24.0,70000,70000,RENT,3.0,3.0,EDUCATION,B,25000,23000,11.86,1,0.36,0.3571,N,4
24,24.0,14400,14400,OWN,5.0,5.0,PERSONAL,A,6000,6000,7.49,1,0.42,0.4167,N,3
24,24.0,56100,56100,RENT,7.0,7.0,MEDICAL,D,25000,23000,16.49,1,0.38,0.4456,N,4
25,25.0,66000,66000,RENT,9.0,9.0,VENTURE,D,25000,23000,15.33,1,0.38,0.3788,Y,2
26,26.0,66000,66000,RENT,3.0,3.0,HOMEIMPROVEMENT,B,25000,23000,11.58,1,0.38,0.3788,N,4
25,25.0,14400,14400,OWN,7.0,7.0,EDUCATION,A,5375,5375,5.79,1,0.37,0.3733,N,2
25,25.0,72612,72612,RENT,9.0,9.0,MEDICAL,C,25000,23000,13.11,1,0.34,0.3443,N,2
23,23.0,74000,74000,RENT,3.0,3.0,MEDICAL,B,25000,23000,10.36,1,0.34,0.3378,N,3
25,25.0,75000,75000,RENT,9.0,9.0,DEBTCONSOLIDATION,B,25000,23000,10.36,1,0.33,0.3333,N,2
24,24.0,192000,140250,RENT,0.0,0.0,MEDICAL,C,22000,22000,,0,0.11,0.1146,Y,2
21,21.0,192000,140250,MORTGAGE,123.0,,VENTURE,A,20000,20000,6.54,0,0.1,0.1042,N,4
25,25.0,191000,140250,MORTGAGE,1.0,1.0,MEDICAL,B,10000,10000,12.53,0,0.05,0.0524,N,4
26,26.0,190300,140250,MORTGAGE,5.0,5.0,PERSONAL,A,15000,15000,,0,0.08,0.0788,N,3
22,22.0,190000,140250,MORTGAGE,3.0,3.0,VENTURE,C,10000,10000,,0,0.05,0.0526,N,3
24,24.0,75000,75000,RENT,4.0,4.0,EDUCATION,B,25000,23000,10.25,1,0.33,0.3333,N,4
22,22.0,71000,71000,RENT,1.0,1.0,EDUCATION,D,25000,23000,15.95,1,0.35,0.3521,Y,4
26,26.0,190000,140250,MORTGAGE,3.0,3.0,VENTURE,B,20000,20000,12.18,0,0.11,0.1053,N,4
23,23.0,189996,140250,OWN,0.0,0.0,PERSONAL,B,24000,23000,11.83,0,0.13,0.1263,N,3
23,23.0,78000,78000,RENT,7.0,7.0,DEBTCONSOLIDATION,C,25000,23000,,1,0.32,0.3205,Y,2
23,23.0,78000,78000,RENT,1.0,1.0,VENTURE,B,25000,23000,10.62,1,0.32,0.3205,N,3
23,23.0,78504,78504,RENT,7.0,7.0,VENTURE,B,25000,23000,10.74,1,0.32,0.3185,N,3
25,25.0,186000,140250,OWN,9.0,9.0,VENTURE,B,10000,10000,10.25,0,0.05,0.0538,N,4
24,24.0,185000,140250,MORTGAGE,,,EDUCATION,B,35000,23000,12.42,0,0.19,0.1892,N,2
25,25.0,185000,140250,RENT,6.0,6.0,VENTURE,C,15000,15000,15.27,0,0.08,0.0811,N,2
24,24.0,62050,62050,RENT,8.0,8.0,MEDICAL,D,25000,23000,15.33,1,0.34,0.4029,Y,2
23,23.0,79416,79416,RENT,7.0,7.0,VENTURE,D,25000,23000,15.21,1,0.31,0.3148,Y,2
21,21.0,14400,14400,OWN,4.0,4.0,VENTURE,C,6250,6250,14.72,1,0.43,0.434,N,2
24,24.0,79631,79631,RENT,8.0,8.0,PERSONAL,D,25000,23000,15.7,1,0.31,0.3139,Y,2
